Title,,Year,Rating,,,Available On,,
Justified,TV,2010,18+,8.6/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fringe,TV,2008,16+,8.4/10,88/100,+ Rent or Buy,100 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Last Week Tonight with John Oliver,TV,2014,18+,8.9/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Freaks and Geeks,TV,1999,16+,8.8/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Good Place,TV,2016,16+,8.2/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Vampire Diaries,TV,2009,16+,7.7/10,87/100,guid+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Americans,TV,2013,18+,8.4/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Umbrella Academy,TV,2019,16+,8.0/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Adventure Time,TV,2010,7+,8.6/10,87/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The X-Files,TV,1993,18+,8.6/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Last Dance,TV,2020,16+,9.1/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Big Little Lies,TV,2017,18+,8.5/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Pose,TV,2018,16+,8.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Billions,TV,2016,18+,8.4/10,86/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Buffy the Vampire Slayer,TV,1997,16+,8.2/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Orange Is the New Black,TV,2013,18+,8.0/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Silicon Valley,TV,2014,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
When They See Us,TV,2019,18+,8.9/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Scrubs,TV,2001,16+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The 100,TV,2014,16+,7.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Luther,TV,2010,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
BoJack Horseman,TV,2014,18+,8.7/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Archer,TV,2009,18+,8.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The IT Crowd,TV,2006,16+,8.5/10,86/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Leftovers,TV,2014,18+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Marvel's Agents of S.H.I.E.L.D.,TV,2013,16+,7.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Marvelous Mrs. Maisel,TV,2017,18+,8.7/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Boardwalk Empire,TV,2010,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Curb Your Enthusiasm,TV,2000,18+,8.7/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Orphan Black,TV,2013,18+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Broadchurch,TV,2013,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Schitt's Creek,TV,2015,16+,8.5/10,86/100,+ Rent or Buy,81 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
American Crime Story,TV,2016,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Star Trek: The Next Generation,TV,1987,7+,8.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Killing Eve,TV,2018,16+,8.2/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Rome,TV,2005,18+,8.7/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Last Kingdom,TV,2015,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
White Collar,TV,2009,7+,8.2/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Penny Dreadful,TV,2014,18+,8.2/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
What We Do in the Shadows,TV,2019,18+,8.5/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The End of the F***ing World,TV,2017,18+,8.1/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Batman: The Animated Series,TV,1992,7+,9.0/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30 Rock,TV,2006,16+,8.2/10,85/100,+ Rent or Buy,132 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Psych,TV,2006,7+,8.3/10,85/100,+ Rent or Buy,120 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Planet Earth II,TV,2016,all,9.5/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Succession,TV,2018,18+,8.6/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,TV,2001,16+,8.3/10,85/100,+ Rent or Buy,191 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Twilight Zone,TV,1959,7+,9.0/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Fall,TV,2013,18+,8.1/10,85/100,+ Rent or Buy,19 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Star Wars: The Clone Wars,TV,2008,7+,8.3/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Banshee,TV,2013,18+,8.4/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
New Girl,TV,2011,16+,7.7/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Six Feet Under,TV,2001,18+,8.7/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
One Piece,TV,1999,7+,8.8/10,85/100,+ Rent or Buy,783 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Teen Wolf,TV,2011,16+,7.6/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Unbelievable,TV,2019,18+,8.4/10,85/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Sense8,TV,2015,18+,8.3/10,85/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Bob's Burgers,TV,2011,16+,8.1/10,85/100,+ Rent or Buy,7 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Deadwood,TV,2004,18+,8.6/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Sex Education,TV,2019,18+,8.3/10,85/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Chuck,TV,2007,16+,8.2/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Death Note,TV,2006,18+,9.0/10,85/100,+ Rent or Buy,37 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
YOU,TV,2018,18+,7.7/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Master of None,TV,2015,18+,8.3/10,85/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
For All Mankind,TV,2019,18+,7.8/10,85/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Marvel's The Punisher,TV,2017,18+,8.5/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Arrow,TV,2012,16+,7.5/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Castlevania,TV,2017,18+,8.2/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The West Wing,TV,1999,16+,8.8/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Resident Alien,TV,2021,16+,8.2/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Marvel's Jessica Jones,TV,2015,18+,7.9/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Night Manager,TV,2016,16+,8.1/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
